run,house,traj,T,success,has_bar,behavior_class,protr_name,protr_wall,residual_margin,bar_face_y,obj_gap,min_near_overall,min_near_approach,min_near_pregrasp,max_nclose_approach,frac_approach_active,bow_approach_m,approach_contacts,held_contacts,object_name,target_uid
20260612_183855,house_121,traj_9,105,True,True,deflect,protr_l,right,-0.09747538764603612,0.16009683153945303,0.14266421677171343,0.020040351897478104,0.020154526457190514,0.020154526457190514,2,0.7272727272727273,0.06686708582953453,8.0,256.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_0,62,True,True,free,protr_m,left,-0.020446603595311016,0.22090970179105668,0.15393940798265016,0.03957432135939598,0.08704502880573273,0.08947156369686127,1,0.2647058823529412,0.005448228734327098,0.0,234.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_1,86,False,True,free,protr_m,left,-0.018071254904311627,0.23025567751593903,0.17993104638315816,0.03957432135939598,0.03957432135939598,0.03957432135939598,1,0.058823529411764705,0.011109906518577057,0.0,127.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_10,86,True,True,free,protr_m,right,-0.13888558069284176,0.2207643785743958,0.16986664250532404,0.020480770617723465,0.020480770617723465,0.020480770617723465,1,0.029411764705882353,0.003317753692808129,0.0,111.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_11,114,True,True,deflect,protr_s,right,-0.036052171155502175,0.2329484690102409,0.15532642024038976,0.08943730592727661,0.08943730592727661,0.08943730592727661,1,0.011627906976744186,0.060778667582939684,13.0,237.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_12,60,True,True,free,protr_m,left,-0.13025965190275007,0.19549629674392294,0.18033534958105257,0.020198924466967583,0.025486046448349953,0.025486046448349953,3,0.46875,0.02073044706388167,3.0,253.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_13,107,True,True,deflect,protr_l,right,-0.09165579370649164,0.14510097551412704,0.14859941969921855,0.02266846038401127,0.02266846038401127,0.02266846038401127,2,0.6835443037974683,0.06474590830754635,8.0,227.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_14,111,True,True,deflect,protr_l,right,-0.1448700551882849,0.1492810499836624,0.14132450456245893,0.03510008752346039,0.14423315227031708,0.14423315227031708,0,0.0,0.06986447044395301,5.0,230.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_15,59,True,True,free,protr_s,left,-0.08966056551044452,0.19809898482519483,0.17652819478884724,0.020109962671995163,0.052603527903556824,0.05404622480273247,2,0.41935483870967744,0.0054814657508919515,0.0,193.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_16,133,False,True,deflect,protr_m,right,-0.08315274644851038,0.15771512156107675,0.13702725803112487,0.03249504417181015,0.06417512893676758,0.06417512893676758,2,0.4125,0.06261443641333997,7.0,125.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
