time_s,contact_count,normal_force_N,arm_tracking_error_rad
0.934,0,0,0.017337091323448628
0.936,0,0,0.01742117429834103
0.9380000000000001,0,0,0.017507524801875465
0.9400000000000001,0,0,0.017596069111100034
0.9420000000000001,0,0,0.017686735009388305
0.9440000000000001,0,0,0.01777945174386409
0.9460000000000001,0,0,0.017874149984761965
0.9480000000000001,0,0,0.017970761786632226
0.9500000000000001,0,0,0.01806922055131059
0.9520000000000001,0,0,0.018169460992560116
0.9540000000000001,0,0,0.018271419102315188
0.9560000000000001,0,0,0.018375032118433145
0.9580000000000001,0,0,0.01848023849387531
0.96,0,0,0.018586977867244756
0.962,0,0,0.018695191034596152
0.964,0,0,0.01880481992244997
0.966,0,0,0.018915807561937146
0.968,0,0,0.019028098064007865
0.97,0,0,0.01914163659563667
0.972,0,0,0.019256369356966917
0.974,0,0,0.019372243559332345
0.976,0,0,0.019489207404100924
0.978,0,0,0.019607210062289448
0.98,0,0,0.019726201654901247
0.982,0,0,0.019846133233934537
0.984,0,0,0.019966956764028702
0.986,0,0,0.02008862510469783
0.988,0,0,0.0202110919931194
0.99,0,0,0.020334312027442052
0.992,0,0,0.020458240650578365
0.994,0,0,0.02058283413445623
0.996,0,0,0.020708049564695998
0.998,0,0,0.020833844825689386
1.0,0,0,0.020960178586059194
1.002,0,0,0.021087010284473125
1.004,0,0,0.021214300115795615
1.006,0,0,0.021342009017555882
1.008,0,0,0.02147009865671533
1.01,0,0,0.021598531416724645
1.012,0,0,0.02172727038484451
1.014,0,0,0.021856279339730132
1.016,0,0,0.0219855227392568
1.018,0,0,0.02211496570858246
1.02,0,0,0.022244574028433245
1.022,0,0,0.022374314123604928
1.024,0,0,0.022504153051671787
1.026,0,0,0.022634058491894732
1.028,0,0,0.02276399873432011
1.03,0,0,0.022893942669068006
1.032,0,0,0.023023859775797306
1.034,0,0,0.02315372011334955
1.036,0,0,0.02328349430955815
1.038,0,0,0.02341315355122852
1.04,0,0,0.023542669574275813
1.042,0,0,0.023672014654023993
1.044,0,0,0.023801161595656515
1.046,0,0,0.023930083724819768
1.048,0,0,0.024058754878375097
1.05,0,0,0.024187149395295846
1.052,0,0,0.024315242107709054
1.054,0,0,0.0244430083320749
1.056,0,0,0.024570423860507833
1.058,0,0,0.024697464952232216
1.06,0,0,0.02482410832517317
1.062,0,0,0.024950331147679954
1.064,0,0,0.02507611103038078
1.066,0,0,0.025201426018163473
1.068,0,0,0.025326254582288727
1.07,0,0,0.02545057561262415
1.072,0,0,0.025574368410005457
1.074,0,0,0.02569761267871992
1.076,0,0,0.025820288519110075
1.078,0,0,0.02594237642029781
1.08,0,0,0.02606385725302708
1.082,0,0,0.02618471226262301
1.084,0,0,0.026304923062066537
1.086,0,0,0.026424471625183674
1.088,0,0,0.02654334027994801
1.09,0,0,0.02666151170189327
1.092,0,0,0.02677896890763711
1.094,0,0,0.026895695248513315
1.096,0,0,0.027011674404311778
1.098,0,0,0.02712689037712502
1.1,0,0,0.027241327485296948
1.102,0,0,0.0273549703574807
1.104,0,0,0.027467803926791476
1.106,0,0,0.02757981342506617
1.108,0,0,0.027690984377220777
1.11,0,0,0.027801302595703736
1.112,0,0,0.027910754175050328
1.114,0,0,0.028019325486529356
1.116,0,0,0.028127003172885988
1.118,0,0,0.028233774143177317
1.12,0,0,0.028339625567699984
1.122,0,0,0.028444544873007845
1.124,0,0,0.028548519737018843
1.1260000000000001,0,0,0.02865153808421027
1.1280000000000001,0,0,0.02875358808090066
1.1300000000000001,0,0,0.028854658130617546
1.1320000000000001,0,0,0.02895473686954765
1.1340000000000001,0,0,0.02905381316207332
1.1360000000000001,0,0,0.02915187609638593
1.1380000000000001,0,0,0.029248914980184428
1.1400000000000001,0,0,0.029344919336451773
1.1420000000000001,0,0,0.029439878899305733
1.1440000000000001,0,0,0.029533783609932876
1.1460000000000001,0,0,0.029626623612592787
1.1480000000000001,0,0,0.029718389250699303
1.1500000000000001,0,0,0.029809071062975135
1.1520000000000001,0,0,0.029898659779676345
1.154,0,0,0.029987146318891128
1.156,0,0,0.030074521782905313
1.158,0,0,0.0301607774546376
1.16,0,0,0.03024590479414306
1.162,0,0,0.030329895435182996
1.164,0,0,0.030412741181857824
1.166,0,0,0.030494434005307765
1.168,0,0,0.030574966040472502
1.17,0,0,0.030654329582918263
1.172,0,0,0.03073251708572055
1.174,0,0,0.03080952115641017
1.176,0,0,0.030885334553976587
1.178,0,0,0.030959950185931475
1.18,0,0,0.031033361105426097
1.182,0,0,0.03110556050842819
1.184,0,0,0.031176541730949216
1.186,0,0,0.03124629824633173
1.188,0,0,0.03131482366258511
1.19,0,0,0.031382111719773884
1.192,0,0,0.031448156287461504
1.194,0,0,0.03151295136219857
1.196,0,0,0.03157649106506539
1.198,0,0,0.031638769639260406
1.2,0,0,0.03169978144773766
1.202,0,0,0.03175952097089061
1.204,0,0,0.03181798280428297
1.206,0,0,0.03187516165642298
1.208,0,0,0.03193105234658478
1.21,0,0,0.0319856498026699
1.212,0,0,0.03203894905911657
1.214,0,0,0.032090945254845925
1.216,0,0,0.03214163363125343
1.218,0,0,0.032191009530238866
1.22,0,0,0.032239068392277526
1.222,0,0,0.0322858057545296
1.224,0,0,0.03233121724898939
1.226,0,0,0.032375298600669906
1.228,0,0,0.032418045625828194
1.23,0,0,0.032459454230224116
1.232,0,0,0.03249952040741577
1.234,0,0,0.03253824023709155
1.236,0,0,0.032575609883434574
